,Accession,Pangolin,Geo_Location,Collection_Date
5165,MZ020420,P.1,Bangladesh,2021-02-18
3963,MZ169910,P.1,Brazil,2021-02-07
3964,MZ169911,P.1,Brazil,2021-02-19
740,MZ397163,P.1,Brazil,2021-03-15
741,MZ397164,P.1,Brazil,2021-03-30
742,MZ397166,P.1,Brazil,2021-04-27
743,MZ397167,P.1,Brazil,2021-04-27
2777,MZ264787,P.1,"Brazil: Amazonas, Manaus",2020-12-21
5673,MW642248,P.1,Italy,2021-01-18
5674,MW642250,P.1,Italy,2021-01-18
5534,MW938104,P.1,Peru,2021-02-22
2095,MZ277386,P.1,Taiwan,2021-01-28
2096,MZ277387,P.1,Taiwan,2021-01-28
2097,MZ277388,P.1,Taiwan,2021-01-28
2098,MZ277389,P.1,Taiwan,2021-01-28
3056,MZ245610,P.1,USA,2021-02-24
795,MZ385553,P.1,USA,2021-03-08
5624,MW894020,P.1,USA,2021-03-12
5625,MW894021,P.1,USA,2021-03-13
5626,MW894034,P.1,USA,2021-03-15
5629,MW894125,P.1,USA,2021-03-17
5628,MW894072,P.1,USA,2021-03-18
18,MZ490342,P.1,USA,2021-03-20
5627,MW894068,P.1,USA,2021-03-20
5606,MW908127,P.1,USA,2021-03-22
5605,MW908122,P.1,USA,2021-03-26
4802,MZ055397,P.1,USA,2021-03-27
5644,MW872690,P.1,USA,2021-03-27
4801,MZ055396,P.1,USA,2021-03-29
4803,MZ055399,P.1,USA,2021-03-29
4945,MZ044634,P.1,USA,2021-03-30
4943,MZ044593,P.1,USA,2021-03-31
5607,MW908214,P.1,USA,2021-03-31
4944,MZ044613,P.1,USA,2021-04-01
3892,MZ189609,P.1,USA,2021-04-02
1222,MZ363663,P.1,USA,2021-04-07
3890,MZ189090,P.1,USA,2021-04-07
3891,MZ189534,P.1,USA,2021-04-07
3966,MZ170142,P.1,USA,2021-04-12
4947,MZ028492,P.1,USA,2021-04-12
4948,MZ028494,P.1,USA,2021-04-12
1339,MZ351745,P.1,USA,2021-04-13
3965,MZ170138,P.1,USA,2021-04-13
5306,MW987799,P.1,USA,2021-04-15
1028,MZ376774,P.1,USA,2021-04-18
732,MZ405363,P.1,USA,2021-04-20
3967,MZ170211,P.1,USA,2021-04-20
3968,MZ170252,P.1,USA,2021-04-20
3972,MZ170297,P.1,USA,2021-04-21
3971,MZ170291,P.1,USA,2021-04-22
3975,MZ170360,P.1,USA,2021-04-22
731,MZ405321,P.1,USA,2021-04-23
3969,MZ170263,P.1,USA,2021-04-23
3970,MZ170265,P.1,USA,2021-04-24
3973,MZ170354,P.1,USA,2021-04-26
730,MZ405276,P.1,USA,2021-04-27
3974,MZ170359,P.1,USA,2021-04-27
879,MZ388003,P.1,USA,2021-04-28
1547,MZ345911,P.1,USA,2021-04-28
3246,MZ224462,P.1,USA,2021-04-28
3976,MZ170361,P.1,USA,2021-04-28
435,MZ433983,P.1,USA,2021-04-29
4203,MZ144296,P.1,USA,2021-04-29
722,MZ404750,P.1,USA,2021-04-30
726,MZ404799,P.1,USA,2021-04-30
727,MZ404801,P.1,USA,2021-05-01
1891,MZ303932,P.1,USA,2021-05-01
2782,MZ264922,P.1,USA,2021-05-01
723,MZ404757,P.1,USA,2021-05-02
724,MZ404778,P.1,USA,2021-05-03
725,MZ404780,P.1,USA,2021-05-03
167,MZ472052,P.1,USA,2021-05-04
