Accession,Pangolin,Geo_Location,Collection_Date
MZ497557,B.1.1.7,USA: West Virginia,2021-03-15
MZ497558,B.1.1.7,USA: West Virginia,2021-03-15
MZ497560,B.1.1.7,USA: West Virginia,2021-03-15
MZ497561,B.1.1.7,USA: West Virginia,2021-03-15
MZ497562,B.1.1.7,USA: West Virginia,2021-03-15
MZ497563,B.1.1.7,USA: West Virginia,2021-03-15
MZ497566,B.1.1.7,USA: West Virginia,2021-03-15
MZ497567,B.1.1.7,USA: West Virginia,2021-03-15
MZ497571,B.1.1.7,USA: West Virginia,2021-04-12
MZ497577,B.1.1.7,USA: West Virginia,2021-04-13
MZ497584,B.1.1.7,USA: West Virginia,2021-03-27
MZ497586,B.1.1.7,USA: West Virginia,2021-03-27
MZ497593,B.1.1.7,USA: West Virginia,2021-03-28
MZ497595,B.1.1.7,USA: West Virginia,2021-03-28
MZ497597,B.1.1.7,USA: West Virginia,2021-03-30
MZ497598,B.1.1.7,USA: West Virginia,2021-03-31
MZ497599,B.1.1.7,USA: West Virginia,2021-03-31
MZ497601,B.1.1.7,USA: West Virginia,2021-04-01
MZ497602,B.1.1.7,USA: West Virginia,2021-04-01
MZ497605,B.1.1.7,USA: West Virginia,2021-04-02
MZ497607,B.1.1.7,USA: West Virginia,2021-04-03
MZ497608,B.1.1.7,USA: West Virginia,2021-04-03
MZ497609,B.1.1.7,USA: West Virginia,2021-04-04
MZ497610,B.1.1.7,USA: West Virginia,2021-04-04
MZ497611,B.1.1.7,USA: West Virginia,2021-04-04
MZ497613,B.1.1.7,USA: West Virginia,2021-04-17
MZ497614,B.1.1.7,USA: West Virginia,2021-04-17
MZ497615,B.1.1.7,USA: West Virginia,2021-04-06
MZ497616,B.1.1.7,USA: West Virginia,2021-04-06
MZ497617,B.1.1.7,USA: West Virginia,2021-04-06
MZ497618,B.1.1.7,USA: West Virginia,2021-04-05
MZ497620,B.1.1.7,USA: West Virginia,2021-04-08
MZ497621,B.1.1.7,USA: West Virginia,2021-04-14
MZ497622,B.1.1.7,USA: West Virginia,2021-04-14
MZ497623,B.1.1.7,USA: West Virginia,2021-04-12
MZ497624,B.1.1.7,USA: West Virginia,2021-04-07
MZ497628,B.1.1.7,USA: West Virginia,2021-04-11
MZ497629,B.1.1.7,USA: West Virginia,2021-04-08
MZ497632,B.1.1.7,USA: West Virginia,2021-04-08
MZ497634,B.1.1.7,USA: West Virginia,2021-04-08
MZ497635,B.1.1.7,USA: West Virginia,2021-04-08
MZ497636,B.1.1.7,USA: West Virginia,2021-04-13
MZ497637,B.1.1.7,USA: West Virginia,2021-04-13
MZ497638,B.1.1.7,USA: West Virginia,2021-04-13
MZ497639,B.1.1.7,USA: West Virginia,2021-04-08
MZ497642,B.1.1.7,USA: West Virginia,2021-04-10
MZ497646,B.1.1.7,USA: West Virginia,2021-04-09
MZ497648,B.1.1.7,USA: West Virginia,2021-04-12
MZ497650,B.1.1.7,USA: West Virginia,2021-04-20
MZ497651,B.1.1.7,USA: West Virginia,2021-04-16
MZ497652,B.1.1.7,USA: West Virginia,2021-04-19
MZ497654,B.1.1.7,USA: West Virginia,2021-04-19
MZ497655,B.1.1.7,USA: West Virginia,2021-04-19
MZ497656,B.1.1.7,USA: West Virginia,2021-04-19
MZ497657,B.1.1.7,USA: West Virginia,2021-04-19
